,,,Basic Facts,,,,,Vitamins,,,,,,,,,,,,,,,,Healthy Fats,,,,,,Minerals,,,,,,,,,,,Phytonutrients,,,,,,AA and Peps,
Item,Category,Serving Size,Cals,Protein,Fats,Carbs,Fiber,Vit A,Vit B1,Vit B2,Vit B3,Vit B5,Vit B6,Vit B7,Vit B9,Vit B12,Vit C,Vit D,Vit E,Vit K,Choline,Myo-Inositol,CoQ10,MUFA,ALA,EPA+DHA,CLA,Lin Acid,MCTs,Ca,Cu,Io,Fe,Mg,Mn,P,K,Se,Na,Zn,Carotenoids,Polyphenols,Phytosterols,Glucosinolates,Thiosulfinates,Betalains,Taurine,Ergothionine
"Deer meat, raw",Meat,3.5 ounces (100 grams),120,23.0,2.4,0,0,0%,18%,37%,40%,0%,22%,3%,1%,263%,0%,0%,1%,1%,0%,30.0 mg,15.8 mg,0.7 g,70.0 mg,0.0 mg,18.2 mg,0.3 g,0.0 g,0%,28%,0%,19%,5%,2%,16%,7%,18%,2%,19%,0.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,100.0 mg,0.1 mg
"Beef heart, raw",Meat,3.5 ounces (100 grams),112,17.7,3.9,0.1,0,0%,20%,70%,47%,36%,16%,24%,5%,356%,2%,1%,2%,0%,28%,30.0 mg,11.3 mg,1.1 g,16.0 mg,0.0 mg,29.8 mg,0.4 g,0.0 g,1%,44%,0%,24%,5%,2%,17%,6%,40%,4%,15%,17.0 μg,0.0 mg,0.5 mg,0.0 mg,0.0 mg,0.0 mg,42.0 mg,0.1 mg
"Beef liver, raw",Meat,3.5 ounces (100 grams),135,20.4,3.6,3.9,0,552%,16%,212%,82%,143%,64%,333%,73%,2471%,1%,6%,3%,3%,61%,64.0 mg,5.1 mg,0.5 g,16.0 mg,0.0 mg,27.5 mg,0.3 g,0.0 g,0%,1084%,0%,27%,4%,13%,31%,7%,72%,3%,36%,256.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,42.0 mg,0.1 mg
"Chicken liver, raw",Meat,3.5 ounces (100 grams),119,16.9,4.8,0.7,0,366%,25%,137%,61%,125%,50%,775%,147%,691%,20%,0%,7%,0%,35%,131.0 mg,13.2 mg,1.2 g,12.0 mg,0.0 mg,4.3 mg,0.5 g,0.0 g,1%,55%,0%,50%,5%,11%,24%,5%,99%,3%,24%,118.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,169.6 mg,1.1 mg
"Ground beef, 85%/15%, raw",Meat,3.5 ounces (100 grams),215,18.6,15,0,0,0%,4%,12%,29%,11%,20%,2%,2%,90%,0%,1%,1%,1%,11%,30.0 mg,3.0 mg,6.5 g,54.0 mg,3.0 mg,113.4 mg,0.3 g,0.0 g,1%,7%,0%,12%,4%,0%,14%,6%,29%,0%,41%,0.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,100.0 mg,0.1 mg
"Chicken, breast, skinless, raw",Meat,3.5 ounces (100 grams),120,22.5,2.6,0,0,1%,8%,14%,60%,30%,48%,12%,2%,9%,0%,0%,4%,0%,15%,30.0 mg,1.7 mg,0.7 g,13.0 mg,7.0 mg,2.4 mg,0.3 g,0.0 g,0%,4%,0%,2%,7%,0%,17%,7%,41%,2%,6%,0.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,18.0 mg,0.1 mg
"Pork loin, raw",Meat,3.5 ounces (100 grams),143,21.4,5.7,0,0,0%,82%,21%,31%,16%,31%,9%,1%,26%,1%,3%,1%,0%,14%,30.0 mg,1.4 mg,2.6 g,20.0 mg,0.0 mg,3.4 mg,0.5 g,0.0 g,1%,7%,0%,5%,5%,1%,17%,8%,66%,2%,17%,0.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,118.0 mg,0.2 mg
"Bacon, raw",Meat,3.5 ounces or 100 grams,393,13.7,37.1,0,0,1%,23%,6%,25%,11%,16%,47%,0%,21%,0%,2%,15%,0%,9%,23.0 mg,4.5 mg,15.9 g,221.0 mg,9.0 mg,96.5 mg,5.1 g,0.1 g,0%,5%,0%,2%,3%,1%,13%,4%,37%,33%,10%,0.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,118.0 mg,0.2 mg
"Milk, whole",Dairy,1 cup (244 grams),149,7.7,8,11.7,0,12%,9%,32%,1%,18%,5%,31%,3%,46%,0%,1%,1%,1%,6%,9.8 mg,0.1 mg,2.0 g,183.0 mg,0.0 mg,80.6 mg,0.3 g,0.7 g,21%,7%,0%,0%,6%,0%,16%,7%,16%,5%,8%,17.1 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,5.9 mg,0.0 mg
"Chicken eggs, whole, raw",Meat,2 large (100 grams),143,12.6,9.5,0.7,0,18%,3%,35%,0%,31%,10%,83%,12%,37%,0%,10%,11%,0%,53%,9.0 mg,0.4 mg,3.7 g,48.0 mg,58.0 mg,12.0 mg,1.6 g,0.0 g,4%,8%,0%,10%,3%,1%,16%,3%,56%,6%,12%,512.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.1 mg
"Cottage Cheese, 2%",Dairy,1/2 cup (113 grams),92,11.8,2.6,5.4,0,9%,2%,22%,1%,12%,4%,11%,2%,22%,0%,0%,1%,0%,3%,1.1 mg,0.2 mg,0.6 g,7.9 mg,1.1 mg,15.1 mg,0.1 g,0.2 g,10%,4%,0%,1%,2%,1%,14%,3%,24%,15%,5%,6.8 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Sardines, canned in oil",Fish,4 ounces (115 grams),239,28.3,13.2,0,0,4%,8%,20%,38%,15%,11%,92%,3%,428%,0%,28%,16%,2%,16%,23.0 mg,1.4 mg,4.4 g,572.7 mg,1129.3 mg,4.0 mg,4.1 g,0.0 g,34%,24%,19%,19%,11%,5%,45%,10%,110%,15%,14%,0.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,69.0 mg,0.0 mg
"Bluefin tuna, raw",Fish,4 ounces (115 grams),166,26.8,5.6,0,0,84%,23%,22%,62%,24%,31%,10%,1%,452%,0%,33%,8%,0%,14%,17.3 mg,0.6 mg,1.8 g,0.0 mg,1349.0 mg,1.7 mg,0.1 g,0.0 g,1%,11%,12%,7%,14%,1%,23%,6%,76%,2%,6%,0.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,381.8 mg,0.0 mg
"Eastern oyster, wild, raw",Fish,4 ounces (115 grams),59,6.6,2,3.1,0,2%,2%,8%,7%,5%,2%,157%,2%,419%,0%,0%,7%,1%,14%,28.8 mg,0.5 mg,0.3 g,96.6 mg,360.0 mg,0.8 mg,0.0 g,0.0 g,5%,365%,46%,29%,5%,15%,9%,4%,41%,4%,411%,0.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,456.2 mg,0.0 mg
"Pacific oyster, raw",Fish,4 ounces (115 grams),93,10.9,2.6,5.7,0,10%,6%,21%,14%,12%,3%,157%,3%,767%,10%,6%,7%,1%,0%,28.8 mg,0.5 mg,0.4 g,36.8 mg,791.2 mg,1.1 mg,0.0 g,0.0 g,1%,201%,48%,33%,6%,32%,15%,4%,161%,5%,174%,0.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,456.2 mg,0.0 mg
"Atlantic salmon, wild, raw",Fish,4 ounces (115 grams),163,22.8,7.3,0,0,2%,22%,34%,56%,38%,55%,39%,7%,152%,0%,52%,6%,0%,23%,0.0 mg,0.9 mg,2.4 g,339.3 mg,1651.4 mg,2.2 mg,0.2 g,0.0 g,1%,32%,23%,5%,8%,1%,18%,12%,76%,2%,7%,1150.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,69.0 mg,0.0 mg
"Norther lobster, raw",Fish,4 ounces (115 grams),89,19,0.9,0,0,0%,2%,1%,11%,33%,7%,19%,3%,60%,0%,0%,7%,0%,15%,0.0 mg,0.3 mg,0.3 g,49.5 mg,195.5 mg,0.3 mg,0.0 g,0.0 g,7%,172%,80%,2%,10%,3%,15%,5%,133%,21%,37%,0.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,319.7 mg,0.0 mg
"Spiny lobster, raw",Fish,4 ounces (115 grams),129,23.7,1.7,2.8,0,1%,1%,4%,31%,8%,10%,19%,0%,168%,3%,0%,7%,0%,15%,0.0 mg,0.3 mg,0.3 g,9.2 mg,429.0 mg,0.5 mg,0.0 g,0.0 g,4%,49%,537%,8%,11%,1%,22%,4%,97%,9%,59%,0.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,319.7 mg,0.0 mg
"Lemon, raw",Fruit,1 cup (212 grams),61,2.3,0.6,13.8,5.9,0%,7%,3%,1%,8%,10%,8%,6%,0%,125%,0%,2%,0%,2%,63.6 mg,0.0 mg,0.0 g,55.1 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,4%,9%,0%,7%,4%,3%,3%,6%,2%,0%,1%,74.2 μg,347.7 mg,38.2 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"California avocado, raw",Fruit,1/4 cup or 1/2 fruit (68 grams),114,1.3,10.5,1.3,4.6,1%,4%,7%,8%,20%,11%,23%,15%,0%,7%,0%,11%,12%,2%,31.3 mg,0.6 mg,6.7 g,85.0 mg,0.0 mg,0.0 mg,1.1 g,0.0 g,1%,13%,0%,2%,5%,4%,3%,7%,0%,0%,4%,261.8 μg,333.2 mg,56.4 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Blackberries, raw",Fruit,1 cup (144 grams),62,2,0.7,6.2,7.6,2%,2%,3%,6%,8%,3%,2%,9%,0%,34%,0%,33%,24%,2%,0.0 mg,0.0 mg,0.1 g,135.4 mg,0.0 mg,0.0 mg,0.3 g,0.0 g,3%,26%,0%,5%,7%,40%,3%,5%,1%,0%,7%,354.2 μg,1520.6 mg,2.8 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Blueberries, raw",Fruit,1 cup (148 grams),84,1.1,0.5,17.9,3.6,0%,5%,5%,4%,4%,5%,12%,2%,0%,16%,0%,10%,24%,2%,0.0 mg,0.0 mg,0.1 g,85.8 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,1%,9%,0%,2%,2%,22%,1%,2%,0%,0%,2%,165.8 μg,1422.3 mg,39.1 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Grapefruit, pink and red, raw",Fruit,1 cup or 1 medium (230 grams),97,1.8,0.3,20.8,3.7,15%,8%,5%,3%,12%,7%,23%,7%,0%,80%,0%,2%,0%,3%,457.7 mg,0.3 mg,0.0 g,18.4 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,4%,8%,0%,1%,5%,2%,3%,7%,0%,0%,1%,4873.7 μg,354.2 mg,41.4 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Green kiwi, raw",Fruit,"1 cup, sliced (180 grams)",110,2.1,0.9,21,5.4,1%,4%,3%,4%,7%,7%,8%,11%,0%,185%,0%,19%,60%,3%,244.8 mg,0.1 mg,0.1 g,75.6 mg,0.0 mg,0.0 mg,0.4 g,0.0 g,5%,26%,0%,3%,7%,8%,5%,12%,1%,0%,2%,313.2 μg,500.4 mg,32.8 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.1 mg
"Golden kiwi, raw",Fruit,"1 cup, sliced (180 grams)",113,1.8,0.5,25.9,2.5,0%,0%,10%,3%,4%,8%,8%,14%,6%,323%,0%,18%,9%,1%,244.8 mg,0.1 mg,0.0 g,77.4 mg,0.0 mg,1.8 mg,0.1 g,0.0 g,2%,30%,0%,2%,5%,4%,4%,12%,1%,0%,1%,68.4 μg,500.4 mg,32.8 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.1 mg
"Pineapple, raw",Fruit,"1 cup, chunks (165 grams)",83,0.9,0.2,21.3,2.3,1%,11%,4%,5%,7%,11%,1%,7%,0%,88%,0%,0%,1%,2%,54.5 mg,0.0 mg,0.0 g,28.1 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,2%,20%,0%,3%,5%,67%,1%,4%,0%,0%,2%,86.8 μg,287.1 mg,28.1 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Pomegranate, raw",Fruit,1 cup arils (174 grams),144,2.9,2,25.6,7,0%,10%,7%,3%,13%,8%,0%,17%,0%,20%,0%,7%,24%,2%,0.0 mg,0.0 mg,0.2 g,0.0 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,1%,31%,0%,3%,5%,9%,5%,9%,2%,0%,6%,0.0 μg,1240.8 mg,8.7 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Pumpkin, raw",Fruit,"1 cup, 1″ cubes (116 grams)",30,1.2,0.1,7,0.6,55%,5%,10%,4%,7%,4%,7%,5%,0%,12%,0%,8%,1%,2%,76.6 mg,0.0 mg,0.0 g,3.5 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,2%,16%,0%,5%,3%,6%,4%,8%,1%,0%,3%,9994.6 μg,182.1 mg,9.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Grapes, raw",Fruit,1 cup (151 grams),104,1.1,0.2,26,1.4,1%,9%,8%,2%,2%,8%,8%,1%,0%,5%,0%,3%,18%,2%,24.2 mg,7.7 mg,0.0 g,16.6 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,1%,21%,0%,3%,3%,5%,2%,6%,0%,0%,1%,169.1 μg,267.1 mg,30.2 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Carrots, raw",Vegetable,1 cup or 2 medium (128 grams),52,1.2,0.3,8.7,3.6,119%,7%,6%,8%,7%,10%,21%,6%,0%,8%,0%,6%,14%,2%,15.4 mg,0.3 mg,0.0 g,2.6 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,3%,6%,0%,2%,4%,8%,4%,9%,0%,4%,3%,15384.3 μg,199.7 mg,24.8 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Onion, raw",Vegetable,"1 cup, sliced (115 grams)",46,1.3,0.1,8.8,2,0%,4%,2%,1%,3%,8%,13%,5%,0%,9%,0%,0%,0%,1%,50.6 mg,0.1 mg,0.0 g,4.6 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,2%,5%,0%,1%,3%,6%,3%,4%,1%,0%,2%,5.8 μg,208.0 mg,10.7 mg,0.0 mg,7.5 mg,0.0 mg,0.0 mg,0.0 mg
"Sweet potato, raw",Vegetable,"1 cup, cubes (133 grams)",114,2.1,0.1,22.8,4,105%,9%,6%,5%,21%,16%,19%,4%,0%,4%,0%,2%,2%,3%,116.9 mg,0.5 mg,0.0 g,1.3 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,3%,22%,0%,5%,8%,15%,5%,10%,1%,3%,4%,11326.3 μg,98.4 mg,16.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Beets, raw",Vegetable,1 cup (136 grams),58,2.2,0.2,9.2,3.8,0%,4%,4%,3%,4%,5%,0%,37%,0%,7%,0%,0%,0%,1%,16.3 mg,0.0 mg,0.0 g,6.8 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,2%,11%,0%,6%,7%,19%,4%,9%,2%,5%,4%,27.2 μg,326.4 mg,23.3 mg,0.0 mg,0.0 mg,245.7 mg,0.0 mg,0.0 mg
"Ginger root, raw",Vegetable,"1/4 cup, slices (24 grams)",19,0.4,0.2,3.8,0.5,0%,1%,1%,1%,1%,2%,1%,1%,0%,1%,0%,0%,0%,1%,0.0 mg,0.0 mg,0.0 g,8.2 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,0%,6%,0%,1%,2%,2%,1%,2%,0%,0%,1%,0.0 μg,53.1 mg,3.6 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Cinnamon, ground",Spice,1 tablespoon (7.8 grams),19,0.3,0.1,2.1,4.1,0%,0%,0%,1%,1%,1%,1%,0%,0%,0%,0%,7%,2%,0%,0.0 mg,0.0 mg,0.0 g,0.9 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,6%,3%,0%,4%,1%,59%,0%,1%,0%,0%,1%,37.4 μg,928.2 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
